guid/image,label
0213ada8-e776-4404-9312-c264153c57c1/0000,2
0213ada8-e776-4404-9312-c264153c57c1/0001,2
0213ada8-e776-4404-9312-c264153c57c1/0002,2
0213ada8-e776-4404-9312-c264153c57c1/0003,2
0213ada8-e776-4404-9312-c264153c57c1/0004,2
0213ada8-e776-4404-9312-c264153c57c1/0005,2
0213ada8-e776-4404-9312-c264153c57c1/0006,2
0213ada8-e776-4404-9312-c264153c57c1/0007,2
0213ada8-e776-4404-9312-c264153c57c1/0008,2
0213ada8-e776-4404-9312-c264153c57c1/0009,2
0213ada8-e776-4404-9312-c264153c57c1/0010,2
0213ada8-e776-4404-9312-c264153c57c1/0011,2
0213ada8-e776-4404-9312-c264153c57c1/0012,2
0213ada8-e776-4404-9312-c264153c57c1/0013,2
0213ada8-e776-4404-9312-c264153c57c1/0014,2
0213ada8-e776-4404-9312-c264153c57c1/0015,2
0213ada8-e776-4404-9312-c264153c57c1/0016,2
0213ada8-e776-4404-9312-c264153c57c1/0017,2
0213ada8-e776-4404-9312-c264153c57c1/0018,2
0213ada8-e776-4404-9312-c264153c57c1/0019,2
0213ada8-e776-4404-9312-c264153c57c1/0020,1
0213ada8-e776-4404-9312-c264153c57c1/0021,1
0213ada8-e776-4404-9312-c264153c57c1/0022,0
0213ada8-e776-4404-9312-c264153c57c1/0023,0
0213ada8-e776-4404-9312-c264153c57c1/0024,0
0213ada8-e776-4404-9312-c264153c57c1/0025,1
0213ada8-e776-4404-9312-c264153c57c1/0026,0
0213ada8-e776-4404-9312-c264153c57c1/0027,0
0213ada8-e776-4404-9312-c264153c57c1/0028,1
0213ada8-e776-4404-9312-c264153c57c1/0029,1
0213ada8-e776-4404-9312-c264153c57c1/0030,1
0213ada8-e776-4404-9312-c264153c57c1/0031,1
0213ada8-e776-4404-9312-c264153c57c1/0032,2
0213ada8-e776-4404-9312-c264153c57c1/0033,2
0213ada8-e776-4404-9312-c264153c57c1/0034,1
0213ada8-e776-4404-9312-c264153c57c1/0035,1
0213ada8-e776-4404-9312-c264153c57c1/0036,0
0213ada8-e776-4404-9312-c264153c57c1/0037,0
